"C1","C2","C3","C4","C5","C6","C7","C8","Browser","Appl","Goog","FB","Wind","Twtr","Joy","Sams","Gmail","SB","DCM","KDDI","Description"
"<U+1F9B6>",NA,NA,NA,NA,NA,NA,NA,"<U+0001F9B6>","","","","","","","","—","—","—","—","foot"
"<U+1F442>",NA,NA,NA,NA,NA,NA,NA,"<U+0001F442>","","","","","","","","","","","","ear"
"<U+1F9BB>",NA,NA,NA,NA,NA,NA,NA,"<U+0001F9BB>","","","","","","","","—","—","—","—","ear with hearing aid"
"<U+1F443>",NA,NA,NA,NA,NA,NA,NA,"<U+0001F443>","","","","","","","","","","—","","nose"
"<U+1F9E0>",NA,NA,NA,NA,NA,NA,NA,"<U+0001F9E0>","","","","","","","","—","—","—","—","brain"
"<U+1FAC0>",NA,NA,NA,NA,NA,NA,NA,"<U+0001FAC0>","—","—","—","—","","","—","—","—","—","—","anatomical heart"
"<U+1FAC1>",NA,NA,NA,NA,NA,NA,NA,"<U+0001FAC1>","—","—","—","—","","","—","—","—","—","—","lungs"
"<U+1F9B7>",NA,NA,NA,NA,NA,NA,NA,"<U+0001F9B7>","","","","","","","","—","—","—","—","tooth"
"<U+1F9B4>",NA,NA,NA,NA,NA,NA,NA,"<U+0001F9B4>","","","","","","","","—","—","—","—","bone"
"<U+1F440>",NA,NA,NA,NA,NA,NA,NA,"<U+0001F440>","","","","","","","","","","","","eyes"
"<U+1F441>",NA,NA,NA,NA,NA,NA,NA,"<U+0001F441>","","","","","","","","—","—","—","—","eye"
"<U+1F445>",NA,NA,NA,NA,NA,NA,NA,"<U+0001F445>","","","","","","","","","—","—","","tongue"
"<U+1F444>",NA,NA,NA,NA,NA,NA,NA,"<U+0001F444>","","","","","","","","","","—","","mouth"
"<U+1F476>",NA,NA,NA,NA,NA,NA,NA,"<U+0001F476>","","","","","","","","","","—","","baby"
"<U+1F9D2>",NA,NA,NA,NA,NA,NA,NA,"<U+0001F9D2>","","","","","","","","—","—","—","—","child"
"<U+1F466>",NA,NA,NA,NA,NA,NA,NA,"<U+0001F466>","","","","","","","","","","—","—","boy"
"<U+1F467>",NA,NA,NA,NA,NA,NA,NA,"<U+0001F467>","","","","","","","","","","—","—","girl"
"<U+1F9D1>",NA,NA,NA,NA,NA,NA,NA,"<U+0001F9D1>","","","","","","","","—","—","—","—","person"
"<U+1F471>",NA,NA,NA,NA,NA,NA,NA,"<U+0001F471>","","","","","","","","","","—","","person: blond hair"
